POCKET AI GUARDIAN -- COMPLETE PROJECT TASK SPLIT SHEET,,,,,,,,,,,,,
Vision AI Platform  |  Hardware-First Edge AI  |  Author: Youhana Sheriff  |  Last Updated: March 2026,,,,,,,,,,,,,
,,,,,,,,,,,,,
Task ID,Phase,Milestone,Module,Task Name,Description,Assignee ,Support,Priority,Status,Start Date,Target Date,Dependencies,Notes / Risks
T-001,Pre-Phase,Architecture & Strategy,Platform Decision,Select core compute platform,Evaluated RDK X5 vs Qualcomm QCS6490; rejected RDK X5 due to power/thermal constraints; selected QCS6490 for edge AI portability.,Youhana,--,High,Done,Jan 2026,Jan 2026,--,"Decision documented in IDEOLOGY.md. QCS chosen for NPU/ISP, OTA support, thermal envelope."
T-002,Pre-Phase,Architecture & Strategy,AI Architecture Design,Define AI layer architecture,"Designed 3-layer AI architecture: Layer 1 (Core Perception - stable), Layer 2 (Contextual Intelligence - OTA), Layer 3 (Feedback & Assistance).",Youhana,--,High,Done,Jan 2026,Jan 2026,T-001,"Modular, OTA-updatable intelligence model. Core perception models prioritise safety & stability."
T-003,Pre-Phase,Architecture & Strategy,Modes of Operation,Define operating modes,"Defined 7 modes: Guardian, Assist, Activity (core) + Focus/Safety, Learning, Home Awareness, Drive Safety (add-on OTA).",Youhana,--,High,Done,Jan 2026,Jan 2026,T-002,Only one mode active at a time to manage power budget.
T-004,Pre-Phase,Architecture & Strategy,Hardware Packaging,Define physical form factor,"Defined Magnetic Guardian Puck: ~40x40 mm board, <5 mm thick, <20 g, passive cooling, USB-C + magnetic dock.",Youhana,--,Medium,Done,Jan 2026,Feb 2026,T-001,"Optional accessories: clip-on module (gym/sports), tabletop base, charging dock."
T-005,Pre-Phase,Architecture & Strategy,Camera Strategy,Define camera specification,"Defined single universal camera: 8-12 MP, 110-120 deg wide angle, fixed focus, MIPI CSI-2.",Youhana,--,Medium,Done,Jan 2026,Feb 2026,T-001,One camera simplifies supply chain and QA. Supports all modes.
T-006,Pre-Phase,Architecture & Strategy,Business Model,Define revenue & OTA strategy,Hardware sold once; intelligence evolves via OTA; optional premium features; no cloud dependency; privacy as core differentiator.,Youhana,--,Medium,Done,Jan 2026,Jan 2026,T-001,Documented in IDEOLOGY.md section 13.
T-007,Pre-Phase,Environment Setup,Dev Environment,Create Conda environment,"Created environment.yml (Python 3.12, all dependencies). Installed Miniforge via Homebrew for Apple Silicon compatibility.",Youhana,--,High,Done,Feb 2026,Feb 2026,--,Activation: conda activate pocket_ai.
T-008,Pre-Phase,Environment Setup,Dev Environment,Validate ML toolchain,"Confirmed Ultralytics YOLO11, ONNX runtime, Metal Performance Shaders (MPS) acceleration working on Apple Silicon.",Youhana,--,High,Done,Feb 2026,Feb 2026,T-007,Workers set to 0 for MPS optimisation. AMP enabled.
  PHASE 1,,,,,,,,,,,,,
T-009,Phase 1,1.1 Vision Model Stabilization,Vision Model - Layer 1,Select YOLO architecture for edge deployment,Evaluated YOLO11 family; selected YOLO11n (Nano) for sub-20 MB footprint and real-time edge inference on QCS class hardware.,Youhana,--,High,Done,Feb 2026,Feb 2026,T-008,YOLO11n: 5.49 MB final model size. Well within <20 MB target.
